Text,Stemming,True Label,Predicted Label,Correct
@DHendrawan8 @kompascom @grok Sektor lain itu apa? Danantara.. Duitnya ngendon dipasar modal nggak netes kebawah,sektor danantara duit ngendon pasar modal nggak netes bawah,0,2,False
Dengan AI dari Telkom Indonesia Danantara siap membawa Indonesia menjadi pemain utama di dunia digital. Sumber: https://t.co/hgFpbMrUR0 Pepaya Carmen malam jumat #telkomindonesia #bigbox #ai #danantara #artificialintelligence #tepatsolutifindonesia #bumn #elevatingyourfuture https://t.co/jtdUgyEJFB,ai telkom indonesia danantara bawa indonesia main utama dunia digital sumber pepaya carmen malam jumat,1,0,False
baru kali ini gua sering denger/baca kuadriliun gara gara danantara sama pertamina sebelum sebelumnya gua jarang bet denger/baca kuadriliun,kali gua dengerbaca kuadriliun gara gara danantara pertamina gua jarang bet dengerbaca kuadriliun,2,0,False
@NenkMonica @erickthohir Mulai kebayang bgmn danantara @prabowo akn dijalankan,bayang bgmn danantara akn jalan,2,0,False
@shitlicious Apasi tolol justru korupsi Pertamina ya harus dikawal gimana hukuman pelakunya soalnya udah jelas korup sedangkan danantara kan baru rilis,apas tolol korupsi pertamina ya kawal gimana hukum laku udah korup danantara rilis,1,0,False
@PNS_Ababil bikin konten tiktod dukung MBG &amp; Danantara ,bikin konten tiktod dukung mbg danantara,2,0,False
Dengan Danantara kita yakin Indonesia mampu menjadi negara yang mandiri dan berdaulat dalam mengelola data. #MandiriData #Danantara https://t.co/xDBGMoQig7,danantara indonesia negara mandiri daulat kelola data,1,2,False
Yak semoga orang2 yang terlibat di Danantara bisa sama2 align dengan goal dibentuknya Danantara yang dipublikasikan ke rakyat. Sehingga bisa benar2 jadi #DanantaraPorosInvestasi,yak moga orang2 libat danantara sama2 align goal bentuk danantara publikasi rakyat benar2,2,0,False
@mhmmd_jati Ini mungkin akan jd kasus terakhir sebelum bergabung dgn danantara krna setelah itu anak perusahaan pertamina bukan jd objek pemeriksaan bpk ,jd gabung dgn danantara krna anak usaha pertamina jd objek periksa bpk,0,2,False
Jaminannya hanya kebesaran nama Prabowo. Masa sih di usia senja masih akan terbenam dosa Danantara? Sebuah 'hil yang mustahal'.,jamin besar nama prabowo sih usia senja benam dosa danantara hil mustahal,0,2,False
@Dennysiregar7 Saham Bank2 BUMN yang jadi bagian Danantara itu pada nyungsep semua https://t.co/NRMWldcuxV,saham bank2 bumn danantara nyungsep,0,2,False
very short summary: - petinggi danantara kebal kpk dan bpk - ada di bawah langsung presiden - punya kendali penuh atas bumn dari sdm sampai keseluruhan perusahaan nya - anggaran 1000 triliun - dewan pengawas nya yang sangat questionable (Tony Blair dan Ray Dalio),very short summary petinggi danantara kebal kpk bpk langsung presiden kendali penuh bumn sdm usaha nya anggar 1000 triliun dewan awas nya questionable tony blair ray dalio,0,2,False
@jansen_jsp Ia ada gebrakan cuman ada beberapa hal spt hidup jokowi sementara rakyat tdk suka dgn jokowi danantara pengawas jokowi sementara track record jokowi gk bagus di mata rakyat indonesia dan di mata dunia contoh occrp kesanx pak prabowo tunduk sekali dg jokowi,gebrak cuman spt hidup jokowi rakyat tdk suka dgn jokowi danantara awas jokowi track record jokowi gk bagus mata rakyat indonesia mata dunia contoh occrp kesanx prabowo tunduk dg jokowi,2,0,False
Danantara optimalkan sumber daya nasional secara efisien dan produktif #Fakta #BPIDanantara #EkonomiKuat #TerusTerang https://t.co/v6L63u4UsP,danantara optimal sumber daya nasional efisien produktif,1,2,False
salut buat Danantara ide revolusionernya mantul abis https://t.co/lYsJhxW8Hf,salut danantara ide revolusioner mantul abis,1,0,False
@embahjsx udah bener mereka buy back di 3000 BUKAN di 6000 DANANTARA bisa masuk di 3000,udah bener buy back 3000 6000 danantara masuk 3000,1,0,False
mantap Danantara jembatan keren menuju masa depan https://t.co/1NvcrBjirR,mantap danantara jembatan keren,1,2,False
Krn danantara,krn danantara,2,0,False
